metric,value
total,10
answerable_rate,1.0
intent_accuracy,1.0
sql_generation_rate,1.0
sql_validation_rate,1.0
sql_valid_rate,1.0
sql_execution_rate,1.0
result_value_match_rate,1.0
result_match_rate,1.0
correction_success_rate,
retrieval_miss_rate,0.0
candidate_selection_accuracy,
catalog_candidates_rate,1.0
catalog_tool_call_rate,0.9
catalog_decision_rate,0.4
catalog_tool_call_count,9
catalog_decision_count,6
latency_p50,6.477842124997551
latency_p95,9.320469124999363
token_cost_estimate,"{""usd"": null, ""method"": ""provider_usage_not_tracked_yet""}"
alias_only_difference_count,3
type_only_difference_count,0
order_only_mismatch_count,1
shape_mismatch_count,0
value_mismatch_count,0
error_category_counts,{}
failures_by_difficulty,{}
